sep=,
"Time","sinus_out"
s,-
 0.0000000000000E+00, 0.0000000000000E+00
 5.0000000000000E-02, 1.0000000000000E+01
 1.0000000000000E-01,-7.6571373978539E-15
 1.5000000000000E-01,-1.0000000000000E+01
 2.0000000000000E-01, 1.5314274795708E-14
 2.5000000000000E-01, 1.0000000000000E+01
 3.0000000000000E-01,-1.4089627996560E-14
 3.5000000000000E-01,-1.0000000000000E+01
 4.0000000000000E-01,-4.8985871965894E-15
 4.5000000000000E-01, 1.0000000000000E+01
 5.0000000000000E-01, 6.1232339957368E-15
 5.5000000000000E-01,-1.0000000000000E+01
 6.0000000000000E-01,-7.3478807948841E-15
 6.5000000000000E-01, 1.0000000000000E+01
 7.0000000000000E-01,-2.6954609193974E-14
 7.5000000000000E-01,-1.0000000000000E+01
 8.0000000000000E-01, 2.5729962394826E-14
 8.5000000000000E-01, 1.0000000000000E+01
 9.0000000000000E-01,-6.0032452383684E-14
 9.5000000000000E-01,-1.0000000000000E+01
 1.0000000000000E+00, 5.8807805584536E-14
 1.0500000000000E+00, 1.0000000000000E+01
 1.1000000000000E+00, 2.6216107230666E-13
 1.1500000000000E+00,-1.0000000000000E+01
 1.2000000000000E+00,-2.2785858231780E-13
 1.2500000000000E+00, 1.0000000000000E+01
 1.3000000000000E+00, 1.9355609232894E-13
 1.3500000000000E+00,-1.0000000000000E+01
 1.4000000000000E+00,-1.5925360234008E-13
 1.4500000000000E+00, 1.0000000000000E+01
 1.5000000000000E+00, 1.2495111235123E-13
 1.5500000000000E+00,-1.0000000000000E+01
 1.6000000000000E+00,-1.6170289593838E-13
 1.6500000000000E+00, 1.0000000000000E+01
 1.7000000000000E+00, 1.2740040594952E-13
 1.7500000000000E+00,-1.0000000000000E+01
 1.8000000000000E+00,-9.3097915960662E-14
 1.8500000000000E+00, 1.0000000000000E+01
 1.9000000000000E+00, 5.8795425971805E-14
 1.9500000000000E+00,-1.0000000000000E+01
 2.0000000000000E+00,-2.4492935982947E-14
 2.0500000000000E+00, 1.0000000000000E+01
 2.1000000000000E+00, 1.3229899314611E-13
 2.1500000000000E+00,-1.0000000000000E+01
 2.2000000000000E+00,-2.4010505030927E-13
 2.2500000000000E+00, 1.0000000000000E+01
 2.3000000000000E+00, 3.4791110747243E-13
 2.3500000000000E+00,-1.0000000000000E+01
 2.4000000000000E+00,-4.5571716463560E-13
 2.4500000000000E+00, 1.0000000000000E+01
 2.5000000000000E+00, 5.6352322179876E-13
 2.5500000000000E+00,-1.0000000000000E+01
 2.6000000000000E+00,-6.7132927896192E-13
 2.6500000000000E+00, 1.0000000000000E+01
 2.7000000000000E+00, 7.7913533612508E-13
 2.7500000000000E+00,-1.0000000000000E+01
 2.8000000000000E+00,-8.8694139328825E-13
 2.8500000000000E+00, 1.0000000000000E+01
 2.9000000000000E+00, 9.9474745045141E-13
 2.9500000000000E+00,-1.0000000000000E+01
 3.0000000000000E+00,-1.1025535076146E-12
 3.0500000000000E+00, 1.0000000000000E+01
 3.1000000000000E+00, 1.2103595647777E-12
 3.1500000000000E+00,-1.0000000000000E+01
 3.2000000000000E+00,-1.3181656219409E-12
 3.2500000000000E+00, 1.0000000000000E+01
 3.3000000000000E+00, 1.4259716791041E-12
 3.3500000000000E+00,-1.0000000000000E+01
 3.4000000000000E+00,-1.5337777362672E-12
 3.4500000000000E+00, 1.0000000000000E+01
 3.5000000000000E+00, 1.7836923405824E-12
 3.5500000000000E+00,-1.0000000000000E+01
 3.6000000000000E+00,-1.8914983977456E-12
 3.6500000000000E+00, 1.0000000000000E+01
 3.7000000000000E+00, 1.9993044549087E-12
 3.7500000000000E+00,-1.0000000000000E+01
 3.8000000000000E+00,-2.1071105120719E-12
 3.8500000000000E+00, 1.0000000000000E+01
 3.9000000000000E+00, 2.2149165692351E-12
 3.9500000000000E+00,-1.0000000000000E+01
 4.0000000000000E+00,-2.3227226263982E-12
 4.0500000000000E+00, 1.0000000000000E+01
 4.1000000000000E+00, 2.4305286835614E-12
 4.1500000000000E+00,-1.0000000000000E+01
 4.2000000000000E+00,-2.5383347407245E-12
 4.2500000000000E+00, 1.0000000000000E+01
 4.3000000000000E+00, 2.6461407978877E-12
 4.3500000000000E+00,-1.0000000000000E+01
 4.4000000000000E+00,-2.7539468550509E-12
 4.4500000000000E+00, 1.0000000000000E+01
 4.5000000000000E+00, 2.8617529122140E-12
 4.5500000000000E+00,-1.0000000000000E+01
 4.6000000000000E+00,-2.9695589693772E-12
 4.6500000000000E+00, 1.0000000000000E+01
 4.7000000000000E+00, 3.0773650265404E-12
 4.7500000000000E+00,-1.0000000000000E+01
 4.8000000000000E+00,-3.1851710837035E-12
 4.8500000000000E+00, 1.0000000000000E+01
 4.9000000000000E+00, 3.2929771408667E-12
 4.9500000000000E+00,-1.0000000000000E+01
 5.0000000000000E+00,-3.4007831980298E-12
 5.0500000000000E+00, 1.0000000000000E+01
 5.1000000000000E+00, 3.5085892551930E-12
 5.1500000000000E+00,-1.0000000000000E+01
 5.2000000000000E+00,-3.6163953123562E-12
 5.2500000000000E+00, 1.0000000000000E+01
 5.3000000000000E+00, 3.7242013695193E-12
 5.3500000000000E+00,-1.0000000000000E+01
 5.4000000000000E+00,-3.8320074266825E-12
 5.4500000000000E+00, 1.0000000000000E+01
 5.5000000000000E+00, 3.9398134838457E-12
 5.5500000000000E+00,-1.0000000000000E+01
 5.6000000000000E+00,-4.0476195410088E-12
 5.6500000000000E+00, 1.0000000000000E+01
 5.7000000000000E+00, 4.1554255981720E-12
 5.7500000000000E+00,-1.0000000000000E+01
 5.8000000000000E+00,-4.2632316553351E-12
 5.8500000000000E+00, 1.0000000000000E+01
 5.9000000000000E+00, 4.3710377124983E-12
 5.9500000000000E+00,-1.0000000000000E+01
 6.0000000000000E+00,-4.4788437696615E-12
 6.0500000000000E+00, 1.0000000000000E+01
 6.1000000000000E+00, 4.5866498268246E-12
 6.1500000000000E+00,-1.0000000000000E+01
 6.2000000000000E+00,-4.6944558839878E-12
 6.2500000000000E+00, 1.0000000000000E+01
