sep=,
"Time","v_1[1]","v_1[2]","v_1[3]","v_2[1]","v_2[2]","v_2[3]"
s,-,-,-,-,-,-
 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.0000000000000E-02, 0.0000000000000E+00, 0.0000000000000E+00, 0.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 2.0000000000000E-02, 2.0000000000000E+00, 2.0000000000000E+00, 2.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 3.0000000000000E-02, 4.0000000000000E+00, 4.0000000000000E+00, 4.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 4.0000000000000E-02, 6.0000000000000E+00, 6.0000000000000E+00, 6.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 5.0000000000000E-02, 8.0000000000000E+00, 8.0000000000000E+00, 8.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 6.0000000000000E-02, 1.0000000000000E+01, 1.0000000000000E+01, 1.0000000000000E+01, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 7.0000000000000E-02, 8.0000000000000E+00, 8.0000000000000E+00, 8.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 8.0000000000000E-02, 6.0000000000000E+00, 6.0000000000000E+00, 6.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 9.0000000000000E-02, 4.0000000000000E+00, 4.0000000000000E+00, 4.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.0000000000000E-01, 2.0000000000000E+00, 2.0000000000000E+00, 2.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.1000000000000E-01,-7.6571373978539E-15,-7.6571373978539E-15,-7.6571373978539E-15, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.2000000000000E-01,-2.0000000000000E+00,-2.0000000000000E+00,-2.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.3000000000000E-01,-4.0000000000000E+00,-4.0000000000000E+00,-4.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.4000000000000E-01,-6.0000000000000E+00,-6.0000000000000E+00,-6.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.5000000000000E-01,-8.0000000000000E+00,-8.0000000000000E+00,-8.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.6000000000000E-01,-1.0000000000000E+01,-1.0000000000000E+01,-1.0000000000000E+01, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.7000000000000E-01,-8.0000000000000E+00,-8.0000000000000E+00,-8.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.8000000000000E-01,-6.0000000000000E+00,-6.0000000000000E+00,-6.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 1.9000000000000E-01,-4.0000000000000E+00,-4.0000000000000E+00,-4.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 2.0000000000000E-01,-2.0000000000000E+00,-2.0000000000000E+00,-2.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 2.1000000000000E-01, 1.5314274795708E-14, 1.5314274795708E-14, 1.5314274795708E-14, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 2.2000000000000E-01, 2.0000000000000E+00, 2.0000000000000E+00, 2.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 2.3000000000000E-01, 4.0000000000000E+00, 4.0000000000000E+00, 4.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
 2.4000000000000E-01, 6.0000000000000E+00, 6.0000000000000E+00, 6.0000000000000E+00, 1.0000000000000E+00, 2.0000000000000E+00, 3.0000000000000E+00
