sep=,
"Time","sinus_out"
s,-
 0.0000000000000E+00, 0.0000000000000E+00
 1.0000000000000E-02, 4.0172209268743E+00
 2.0000000000000E-02, 7.6412082798022E+00
 3.0000000000000E-02, 1.0517220926874E+01
 4.0000000000000E-02, 1.2363734711837E+01
 5.0000000000000E-02, 1.3000000000000E+01
 6.0000000000000E-02, 1.2363734711837E+01
 7.0000000000000E-02, 1.0517220926874E+01
 8.0000000000000E-02, 7.6412082798021E+00
 9.0000000000000E-02, 4.0172209268743E+00
 1.0000000000000E-01, 1.5920408388916E-15
 1.1000000000000E-01,-4.0172209268743E+00
 1.2000000000000E-01,-7.6412082798021E+00
 1.3000000000000E-01,-1.0517220926874E+01
 1.4000000000000E-01,-1.2363734711837E+01
 1.5000000000000E-01,-1.3000000000000E+01
 1.6000000000000E-01,-1.2363734711837E+01
 1.7000000000000E-01,-1.0517220926874E+01
 1.8000000000000E-01,-7.6412082798021E+00
 1.9000000000000E-01,-4.0172209268743E+00
 2.0000000000000E-01, 8.3622377783185E-15
 2.1000000000000E-01, 4.0172209268743E+00
 2.2000000000000E-01, 7.6412082798022E+00
 2.3000000000000E-01, 1.0517220926874E+01
 2.4000000000000E-01, 1.2363734711837E+01
 2.5000000000000E-01, 1.3000000000000E+01
 2.6000000000000E-01, 1.2363734711837E+01
 2.7000000000000E-01, 1.0517220926874E+01
 2.8000000000000E-01, 7.6412082798021E+00
 2.9000000000000E-01, 4.0172209268743E+00
 3.0000000000000E-01,-4.1409155307732E-14
 3.1000000000000E-01,-4.0172209268744E+00
 3.2000000000000E-01,-7.6412082798022E+00
 3.3000000000000E-01,-1.0517220926874E+01
 3.4000000000000E-01,-1.2363734711837E+01
 3.5000000000000E-01,-1.3000000000000E+01
 3.6000000000000E-01,-1.2363734711837E+01
 3.7000000000000E-01,-1.0517220926874E+01
 3.8000000000000E-01,-7.6412082798021E+00
 3.9000000000000E-01,-4.0172209268743E+00
 4.0000000000000E-01, 6.2909753381044E-14
 4.1000000000000E-01, 4.0172209268744E+00
 4.2000000000000E-01, 7.6412082798022E+00
 4.3000000000000E-01, 1.0517220926874E+01
 4.4000000000000E-01, 1.2363734711837E+01
 4.5000000000000E-01, 1.3000000000000E+01
 4.6000000000000E-01, 1.2363734711837E+01
 4.7000000000000E-01, 1.0517220926874E+01
 4.8000000000000E-01, 7.6412082798021E+00
 4.9000000000000E-01, 4.0172209268742E+00
 5.0000000000000E-01,-8.4410351454355E-14
 5.1000000000000E-01,-4.0172209268744E+00
 5.2000000000000E-01,-7.6412082798022E+00
 5.3000000000000E-01,-1.0517220926874E+01
 5.4000000000000E-01,-1.2363734711837E+01
 5.5000000000000E-01,-1.3000000000000E+01
 5.6000000000000E-01,-1.2363734711837E+01
 5.7000000000000E-01,-1.0517220926874E+01
 5.8000000000000E-01,-7.6412082798020E+00
 5.9000000000000E-01,-4.0172209268742E+00
 6.0000000000000E-01, 1.2900358843987E-13
 6.1000000000000E-01, 4.0172209268744E+00
 6.2000000000000E-01, 7.6412082798023E+00
 6.3000000000000E-01, 1.0517220926874E+01
 6.4000000000000E-01, 1.2363734711837E+01
 6.5000000000000E-01, 1.3000000000000E+01
 6.6000000000000E-01, 1.2363734711837E+01
 6.7000000000000E-01, 1.0517220926874E+01
 6.8000000000000E-01, 7.6412082798020E+00
 6.9000000000000E-01, 4.0172209268742E+00
 7.0000000000000E-01,-1.7359682542539E-13
 7.1000000000000E-01,-4.0172209268745E+00
 7.2000000000000E-01,-7.6412082798023E+00
 7.3000000000000E-01,-1.0517220926874E+01
 7.4000000000000E-01,-1.2363734711837E+01
 7.5000000000000E-01,-1.3000000000000E+01
 7.6000000000000E-01,-1.2363734711837E+01
 7.7000000000000E-01,-1.0517220926874E+01
 7.8000000000000E-01,-7.6412082798020E+00
 7.9000000000000E-01,-4.0172209268741E+00
 8.0000000000000E-01, 1.7200478458649E-13
 8.1000000000000E-01, 4.0172209268745E+00
 8.2000000000000E-01, 7.6412082798023E+00
 8.3000000000000E-01, 1.0517220926874E+01
 8.4000000000000E-01, 1.2363734711837E+01
 8.5000000000000E-01, 1.3000000000000E+01
 8.6000000000000E-01, 1.2363734711837E+01
 8.7000000000000E-01, 1.0517220926874E+01
 8.8000000000000E-01, 7.6412082798020E+00
 8.9000000000000E-01, 4.0172209268741E+00
 9.0000000000000E-01,-2.1659802157201E-13
 9.1000000000000E-01,-4.0172209268745E+00
 9.2000000000000E-01,-7.6412082798023E+00
 9.3000000000000E-01,-1.0517220926874E+01
 9.4000000000000E-01,-1.2363734711837E+01
 9.5000000000000E-01,-1.3000000000000E+01
 9.6000000000000E-01,-1.2363734711837E+01
 9.7000000000000E-01,-1.0517220926874E+01
 9.8000000000000E-01,-7.6412082798019E+00
 9.9000000000000E-01,-4.0172209268741E+00
 1.0000000000000E+00, 2.6119125855752E-13
